[00:00:04–00:00:08] 喂嗨大家晚安大家有聽到聲音嗎
[00:20:11–00:20:13] 呃其他的工序的功能在哪邊
[00:20:13–00:20:16] 這大大部分都長得非常非常像
[00:20:17–00:20:18] 當然吼那個
[00:20:18–00:20:20] 有各有差異
[00:20:20–00:20:21] 你說哪個比較強的比較好用
[00:20:21–00:20:23] 在隨著時間的
[00:20:23–00:20:25] 那個諜帶會有一些不同
[00:20:25–00:20:27] 然後早期可能用南歐巴納拉
[00:20:27–00:20:28] 大家畫圖畫的很高興
[00:20:28–00:20:30] 但是近期可能覺得好像
[00:20:30–00:20:32] 呃gbt的畫圖好像好很多
[00:20:32–00:20:34] 啊人家幫我複查這些內容
[00:20:34–00:20:36] 然後他就都要佐分資料
[00:20:36–00:20:39] 好這是第一個文字篇原則上講到這邊
[00:20:39–00:20:40] 讓大家針對
[00:20:41–00:20:43] 文字的精粹的時候
[00:20:43–00:20:45] 你想要用你自己的文字的時候
[00:20:45–00:20:48] md檔是一個你非常非常好的朋友
[00:20:48–00:20:49] 甚至在nobucan裡面
[00:20:49–00:20:53] 我也會蠻建議你是大量使用
[00:20:53–00:20:54] nobucan的
[00:20:54–00:20:56] md檔也是一個你非常非常好的朋友
[00:20:56–00:20:59] 因為他沒有帶有任何的這個
[00:20:59–00:21:00] 自行顏色
[00:21:01–00:21:03] 變成你的包袱
[00:21:03–00:21:05] 讓你的ai在分析的時候更方便
[00:21:06–00:21:08] 好那另外一個補充的我剛好開的
[00:21:08–00:21:10] 就是jumenide的這個nobucs
[00:21:10–00:21:13] 在今年的三四月出來之後
[00:21:13–00:21:15] 形成大家的一個小小的
[00:21:15–00:21:18] 很高興的說哇原來我的jumenide
[00:21:18–00:21:20] 終於可以跟我的
[00:21:20–00:21:21] nobucm做結合
[00:21:21–00:21:23] 然後大家都用的非常非常高興
[00:21:23–00:21:25] 唯一一個小小的缺點
[00:21:25–00:21:27] 目前都還沒有突破的缺點
[00:21:27–00:21:28] 我跟大家講一下
[00:21:28–00:21:29] 來
[00:21:30–00:21:31] 名字要開
[00:21:32–00:21:33] 在這邊開筆記本
[00:21:33–00:21:36] 抱歉我的這個筆記本
[00:21:36–00:21:38] 他就不讓你分享
[00:21:38–00:21:38] 那就沒關係啊
[00:21:38–00:21:41] 我到nobucm去分享抱歉他就是鎖住的
[00:21:42–00:21:44] 他就是鎖住的有看到嗎共用
[00:21:44–00:21:46] 只要你用nobucs
[00:21:46–00:21:48] 開的nobucm的工具
[00:21:48–00:21:51] 你在這邊是不能共享的
[00:21:51–00:21:53] 在這裡也是不能共享的
[00:21:53–00:21:54] 這是第一個要跟大家提醒的
[00:21:54–00:21:56] 用的開心之餘要有這樣的概念
[00:21:56–00:21:58] 第二個要提醒的是
[00:21:59–00:22:00] 大家知道嗎
[00:22:00–00:22:01] 我在這邊問問題
[00:22:01–00:22:03] 好雖然說老師他的這個
[00:22:03–00:22:05] 呃資料來源會來自於
[00:22:05–00:22:06] nobucm
[00:22:07–00:22:07] 的資料
[00:22:07–00:22:10] 那我是不是在這邊問問題
[00:22:10–00:22:12] 他在引用我的
[00:22:12–00:22:13] nobucm的資料的時候
[00:22:13–00:22:16] 就會跟我們在
[00:22:16–00:22:18] nobucm裡面使用
[00:22:19–00:22:21] 沒有幻覺是一模一樣的呢
[00:22:21–00:22:22] 抱歉
[00:22:22–00:22:24] 這邊是一個小小的迷思
[00:22:24–00:22:28] 在這邊用他還是gm
[00:22:28–00:22:29] 他還是gm
[00:22:29–00:22:32] 所以請你不要以為他不會有幻覺
[00:22:32–00:22:34] 他還是照樣給你幻覺
[00:22:34–00:22:35] 哦唯一
[00:22:36–00:22:38] 你要進入到nobucm這邊用
[00:22:38–00:22:39] 他才會根據你的資料來
[00:22:40–00:22:40] 那記得哦
[00:22:41–00:22:42] 他這邊有一個gm的
[00:22:43–00:22:45] 打勾你找到在這邊打勾的話
[00:22:45–00:22:47] 你gm來進來的資料還是都會有
[00:22:47–00:22:48] 你的對話資料
[00:22:48–00:22:49] 所以
[00:22:50–00:22:51] 很多人用了nobuc
[00:22:51–00:22:52] 跟我說老師我覺得
[00:22:52–00:22:53] nobuc好像不太好用
[00:22:53–00:22:55] 他都會亂講話
[00:22:55–00:22:57] 好像沒有真正連接到nobucm
[00:22:57–00:22:58] 其實他的概念是這樣
[00:22:58–00:22:58] 他只是
[00:22:59–00:23:00] 假接他的資料進來而已
[00:23:00–00:23:03] 但是他整個運作模型還是在
[00:23:03–00:23:04] gm來的概念
[00:23:04–00:23:06] 所以他沒有像
[00:23:06–00:23:07] nobucm那種
[00:23:07–00:23:08] 你沒有給他資料
[00:23:08–00:23:09] 他沒辦法分析的那個概念
[00:23:09–00:23:10] 他沒有這樣的設定
[00:23:10–00:23:11] 所以
[00:23:11–00:23:13] 記得就是nobuc的第二個
[00:23:13–00:23:14] 我要跟大家提醒
[00:23:14–00:23:16] 所以說大家用很開心
[00:23:16–00:23:19] 但是還是要注意這件事情
[00:23:19–00:23:21] 好來第三件事情
[00:23:21–00:23:22] 這裡點點點打開
[00:23:24–00:23:27] 通常我們在做筆記本設定的時候
[00:23:27–00:23:30] 這邊會有他的回覆的人設跟語氣
[00:23:30–00:23:33] 這邊跟我們剛剛所學的這個角色半年
[00:23:33–00:23:35] 哦進入這個角色啊
[00:23:35–00:23:37] 進入這個內容是一模一樣的哦
[00:23:37–00:23:39] 那這個這個通道啊
[00:23:39–00:23:40] 他是兩邊都通的啊
[00:23:40–00:23:40] 比如說
[00:23:41–00:23:42] 半年這個
[00:23:43–00:23:52] 港式料理專家好
[00:23:52–00:23:54] 來什麼叫做兩邊都通的好來
[00:23:54–00:23:57] 這邊你讓他半年這個角色之後
[00:23:57–00:23:59] 你到你的nobucm打開
[00:23:59–00:24:01] 他也是一模一樣的
[00:24:01–00:24:03] 他也是一模一樣的好來這裡
[00:24:04–00:24:05] 這邊是通的
[00:24:08–00:24:09] 等一下哦
[00:24:10–00:24:11] 柵欄哦有沒有
[00:24:12–00:24:14] 半年港式料理專家
[00:24:14–00:24:15] 所以兩邊是通的哦
[00:24:15–00:24:17] 哦你不會說老師你剛剛不是說
[00:24:17–00:24:19] nobucm他比較這個聰明
[00:24:19–00:24:22] 他比較會只針對他的資料來做
[00:24:22–00:24:24] 回應來做取來做內容
[00:24:24–00:24:26] 那我是不是可以把兩邊半年
[00:24:26–00:24:28] 不同角色互相對話抱歉不行
[00:24:28–00:24:31] 他的對話這裡反而是通的
[00:24:31–00:24:33] 反而是通的 ok
[00:24:33–00:24:35] 好所以三個小小的提醒就是
[00:24:35–00:24:38] 呃大家在喜歡用nobucm的
[00:24:38–00:24:40] 時候要注意的是第一個
[00:24:40–00:24:42] 呃原則上啊
[00:24:42–00:24:45] 他你只要用nobucs開他是不能分享的
[00:24:45–00:24:46] 第二個
[00:24:46–00:24:49] 他的幻覺會存在在gm來的界面
[00:24:49–00:24:50] 在nobucm不會
[00:24:51–00:24:54] 那第三個他們的互通有5是在他的
[00:24:54–00:24:56] 自在他的這個
[00:24:56–00:24:58] 自定指定裡面會互通有5可以嗎
[00:24:58–00:25:01] 好讓大家在使用上有一些
[00:25:02–00:25:03] 可能沒有注意到的哦
[00:25:03–00:25:05] 那以後就可以注意一下哦
[00:25:05–00:25:07] 那接下來
[00:25:07–00:25:09] 等一下應該還有時間哦
[00:25:09–00:25:11] 那不可能要串的時候啊
[00:25:11–00:25:12] 這個自從他可以串之後
[00:25:12–00:25:15] 大家就開始很高興就說哦
[00:25:15–00:25:17] 的nobucm終於可以串出來了哦來
[00:25:19–00:25:20] 在串的時候
[00:25:20–00:25:22] 請大家幫我特別注意哦
[00:25:22–00:25:24] 現在的串法用gm來串有點弱
[00:25:25–00:25:26] 哦這個是大概
[00:25:26–00:25:28] 嗯剛出來的時候覺得很紅吧
[00:25:28–00:25:29] 大家覺得還蠻方便的
[00:25:29–00:25:30] 不過用久了
[00:25:30–00:25:32] 大家其實對現在gm來的模型
[00:25:32–00:25:34] 你沒有到3.5pro的時候
[00:25:34–00:25:36] 用起來其實不太方便哦
[00:25:36–00:25:38] 那現在流行的都是直接讓
[00:25:38–00:25:40] agent去串你的nobucm
[00:25:40–00:25:42] 那早期我們在串的時候
[00:25:42–00:25:44] 用cloud code在串的時候可能要
[00:25:45–00:25:46] 可能要連來連去的
[00:25:46–00:25:47] 那現在你找下個指定說
[00:25:48–00:25:51] 幫我把nobucm用mcp的方式接上來吧
[00:25:51–00:25:52] 好的就幫你接了哦
[00:25:52–00:25:54] 很簡單等一下會有會有時間
[00:25:54–00:25:55] 就介紹一下哦
[00:25:56–00:25:57] 然後到這裡還可以嗎
[00:25:57–00:25:58] 應該不會太快吧哦
[00:25:58–00:26:02] 啊既然我們是2026年上半年的這個
[00:26:02–00:26:03] 這個介紹哦
[00:26:03–00:26:05] 所以文字片大概到這邊讓大家
[00:26:05–00:26:08] 對文字的精確有一些感受哦
[00:26:08–00:26:09] 好這個我剛剛講的哦
[00:26:09–00:26:11] 他現在輸出的格式
[00:26:11–00:26:12] doc iso的格式
[00:26:12–00:26:15] 都是算是加長變販
[00:26:15–00:26:18] 啊目前在這個gmail
[00:26:18–00:26:21] 的ppt還不行哦還不行 ok
[00:26:21–00:26:22] 好我看一下有沒有問題
[00:26:24–00:26:26] 人設在專案就好了啦
[00:26:26–00:26:28] 你其實我會蠻建議讓你的
[00:26:29–00:26:30] 那個gbt啦
[00:26:30–00:26:32] 就是讓你的這個llm的大廳
[00:26:32–00:26:34] 都是寶石通財的角色
[00:26:35–00:26:37] 我現在其實很少會在這裡
[00:26:37–00:26:38] 去設定他的人
[00:26:38–00:26:41] 去設定他的人設哦什麼意思
[00:26:41–00:26:44] 我會希望我在使用我的
[00:26:45–00:26:47] 個人化這邊讓他保持一些
[00:26:47–00:26:49] 啊特就是原有的特色
[00:26:49–00:26:51] 就模型最原始的樣子
[00:26:51–00:26:54] 因為我可能想要讓他多回答我
[00:26:54–00:26:56] 不要因為我去設定他的制定指定
[00:26:56–00:26:58] 框架他回答我的方式
[00:26:58–00:26:59] 我通常會這樣做
[00:26:59–00:27:01] 這個就是使用習慣啦
[00:27:02–00:27:03] 看大家哦看大家
[00:27:04–00:27:06] 好那我就繼續囉
[00:27:09–00:27:11] 接下來講到生圖片
[00:27:12–00:27:15] 現在是啊四面上比較流行的兩大模型
[00:27:15–00:27:17] 當然還有其他模型
[00:27:17–00:27:19] 比如說這個mage in你的或者是這個
[00:27:19–00:27:20] 呃
[00:27:21–00:27:22] dvju
[00:27:22–00:27:23] dvju
[00:27:24–00:27:25] stable stable
[00:27:25–00:27:27] dvju的模型很多很多
[00:27:27–00:27:30] 那還有對岸的有大部分的生圖的模型
[00:27:30–00:27:32] 那我先以這兩個
[00:27:32–00:27:33] 算是我
[00:27:34–00:27:35] 比較常用的模型的
[00:27:35–00:27:36] 那早期我都用
[00:27:36–00:27:37] 那我把他拿吧
[00:27:37–00:27:38] 這應該跟大家都一樣哦
[00:27:38–00:27:39] 不管你在nobocan生
[00:27:39–00:27:40] 不管你在這個
[00:27:41–00:27:43] a studio生或者是在gmail來生
[00:27:43–00:27:46] 那我把他拿以往我們都會透過
[00:27:47–00:27:50] yamo指令來要求他讓他
[00:27:51–00:27:53] 高高清解析
[00:27:53–00:27:55] 然後有相關的
[00:27:55–00:27:56] 這個功能
[00:27:57–00:27:58] 那現在gbt出來之後
[00:27:58–00:28:00] 我們大部分都會往gbt走
[00:28:00–00:28:02] 就是我現在生圖的方式大部分
[00:28:02–00:28:05] 都會往gbt這邊稍微靠容一點哦
[00:28:05–00:28:06] 好那
[00:28:07–00:28:09] 等一下給他看一下同一個指令
[00:28:09–00:28:11] 在處理的時候就會有有一些落差
[00:28:11–00:28:12] 那以前
[00:28:12–00:28:14] 那老闆我們透過yamo格式嘛
[00:28:14–00:28:17] 讓他去要求他讓他做的更真
[00:28:17–00:28:18] 讓他做的更好
[00:28:18–00:28:19] 比如說我們現在開一個來做吧
[00:28:20–00:28:21] 好我們一樣維持
[00:28:21–00:28:22] 我們那個颱風的主題好了
[00:28:22–00:28:24] 剛剛可能比較有趣一點
[00:28:26–00:28:26] 然後
[00:28:27–00:28:30] 比較跟得上時事啊不是有趣
[00:28:30–00:28:33] 然後那個風災還是大家會稍微辛苦一點
[00:28:34–00:28:35] 來
[00:28:36–00:28:40] 通常開建立圖像之後我會做一件事
[00:28:40–00:28:41] 我把我想要描述的
[00:28:45–00:28:47] 可怕的颱風
[00:28:47–00:28:48] 變成
[00:28:54–00:28:57] 變成Q版的動畫
[00:28:58–00:29:00] 模樣在台灣的四周圍
[00:29:00–00:29:02] 好類似這樣哦我們就把這個
[00:29:03–00:29:06] 颱風先你能畫你能畫
[00:29:07–00:29:08] 來
[00:29:10–00:29:12] 你能畫好
[00:29:13–00:29:14] 那這種叫做一般的指令嘛
[00:29:14–00:29:17] 我們平常下指令就會這樣快速的下了
[00:29:17–00:29:19] 讓我gbt也下一下給大家看哦
[00:29:21–00:29:21] 好
[00:29:22–00:29:24] 那我如果想要讓他做的更好
[00:29:24–00:29:28] 就叫做Q版的他的做法好快速的做
[00:29:28–00:29:30] 那我如果想要做的更好呢
[00:29:30–00:29:31] 比如說
[00:29:34–00:29:35] 把這個指令
[00:29:36–00:29:37] 轉成一個格式
[00:29:37–00:29:40] 那個那個格式我們很常講的都壓模格式
[00:29:40–00:29:43] 就是可以固定他的風格
[00:29:43–00:29:46] 固定他的顏色甚至他的自行的產生哦
[00:29:46–00:29:46] 比如說
[00:29:47–00:29:47] 來
[00:29:49–00:29:50] 轉成
[00:29:54–00:29:55] 壓模格式
[00:29:57–00:29:59] 然後整體的風格
[00:29:59–00:30:00] 要
[00:30:01–00:30:01] 像
[00:30:05–00:30:07] 現在玩具總共剛出來嘛好
[00:30:08–00:30:09] 然後玩具總共
[00:30:11–00:30:13] 玩具總動員的風格
[00:30:14–00:30:14] 好
[00:30:15–00:30:16] 然後排版讓他排
[00:30:16–00:30:17] 好就是就是
[00:30:17–00:30:19] 壓模格式可以要求他排版哦
[00:30:19–00:30:21] 要求他的相關的內容
[00:30:21–00:30:23] 來玩具好
[00:30:23–00:30:26] 再來我會特別要出反體中文的時候
[00:30:26–00:30:28] 我會多給他指令哦
[00:30:28–00:30:30] 反體中文
[00:30:31–00:30:32] 請不要哦
[00:30:32–00:30:34] 這個叫做反向的提示詞
[00:30:34–00:30:36] 在下吐的時候也非常流行就是
[00:30:36–00:30:38] 不要做什麼事哦
[00:30:38–00:30:41] 不要有多餘的筆畫
[00:30:42–00:30:43] 模糊的
[00:30:45–00:30:46] 邊緣
[00:30:47–00:30:47] 還有什麼
[00:30:47–00:30:49] 多餘的筆畫模糊的邊緣好
[00:30:49–00:30:51] 來至少
[00:30:51–00:30:55] 4k4k哦雖然說打不到的解析度
[00:30:56–00:30:56] 好
[00:30:57–00:30:58] 類似這樣哦
[00:30:58–00:30:59] 模糊的
[00:30:59–00:31:00] ok就這樣
[00:31:01–00:31:03] 好那就先改成壓模格式
[00:31:09–00:31:10] 您說我切那個嗎
[00:31:11–00:31:11] 你說
[00:31:13–00:31:14] 貼貼上嗎還是
[00:31:14–00:31:16] 你說Juma來跟那個嗎
[00:31:16–00:31:19] 可以啊就就用comment控制他哦
[00:31:21–00:31:21] 好
[00:31:22–00:31:23] 這個時候就複製吧
[00:31:30–00:31:32] mine因為後來要收費之後我就覺得
[00:31:32–00:31:34] 沒有沒有很好用
[00:31:34–00:31:36] 對只是他他沒有更新啊
[00:31:36–00:31:37] 他沒有更新
[00:31:37–00:31:39] 對他就是停留在那個
[00:31:40–00:31:43] 之前的模樣一直沒有新的東西哦
[00:31:43–00:31:44] 好來這個
[00:31:44–00:31:45] 不用先關一關
[00:31:45–00:31:47] 好那這是他畫的哦
[00:31:47–00:31:48] 這是gbt
[00:31:51–00:31:52] 哎他的
[00:31:52–00:31:54] 那個自動畫要收費了
[00:31:58–00:31:59] 好那這個是
[00:32:01–00:32:02] 大家可以看一下哦
[00:32:02–00:32:03] 其實他畫出來是有這個
[00:32:04–00:32:05] 這個這個差異的好
[00:32:05–00:32:07] 就讓讓大家感受一下哦
[00:32:07–00:32:09] 好啊就看你的需求啦
[00:32:09–00:32:11] 哈就是我通常會透過壓模的方式
[00:32:11–00:32:13] 再去要求他做畫的更好啦
[00:32:13–00:32:14] 畫的更真啊
[00:32:14–00:32:17] 或者是調整這個格式啊
[00:32:20–00:32:22] ok這個讓大家知道一下
[00:32:22–00:32:24] 通常在做這件事的時候可以做這樣
[00:32:24–00:32:26] 就是你有很多模型可以選擇
[00:32:26–00:32:28] 然後依據你的需求去做調整哦
[00:32:29–00:32:30] 那甚至
[00:32:32–00:32:33] 隨便補充哦
[00:32:33–00:32:34] 這個也很久沒講
[00:32:36–00:32:37] 布羅哎更新之後
[00:32:37–00:32:40] 他其實有多了一個小小的功能哦
[00:32:40–00:32:42] 雖然說他說要付費
[00:32:42–00:32:44] 但是他現在多了一個叫做文字轉影片哦
[00:32:44–00:32:46] 請大家趕快來用他哦
[00:32:46–00:32:48] 他非常的好用
[00:32:48–00:32:50] 那我自我記得哦
[00:32:50–00:32:51] 大概一週吧
[00:32:51–00:32:53] 有一有一次的扣達哦
[00:32:53–00:32:54] 那你就進來
[00:32:54–00:32:55] 你就做一件事情
[00:32:55–00:32:56] 你就把這件事丟給他
[00:32:57–00:32:58] 然後呢他
[00:32:59–00:33:00] 他需要一張圖哦
[00:33:00–00:33:01] 所以我們要去做一張圖哦
[00:33:01–00:33:03] 假設我要以這個為這個
[00:33:03–00:33:04] 我的整個
[00:33:05–00:33:08] 大概幾分大概一分鐘左右的圖片的
[00:33:08–00:33:09] 這個造型啊
[00:33:09–00:33:10] 假設這是我的
[00:33:11–00:33:13] 造型我去做GPT的吧
[00:33:14–00:33:15] 嗯好他哎
[00:33:15–00:33:17] 幫忙上我搜尋了一下
[00:33:19–00:33:21] 好假設哦領存圖片
[00:33:23–00:33:24] 好
[00:33:25–00:33:28] 那個俘羅裡面有一個新的小小的功能哦
[00:33:28–00:33:32] 那目前他有開放的免費的
[00:33:32–00:33:33] 就是你不用付費哦
[00:33:33–00:33:35] 我的俘羅這一版也沒有付費哦
[00:33:35–00:33:36] 他就讓你用啊
[00:33:36–00:33:38] 他就可以幫你生成這個
[00:33:39–00:33:41] 文字跟語音啊他需要一點時間
[00:33:44–00:33:44] ok
[00:33:45–00:33:46] 積分不足哦
[00:33:46–00:33:48] 就是我今天的扣達用完了
[00:33:48–00:33:50] 所以大家大家可以來用一下哦
[00:33:51–00:33:53] 有這邊也有一個
[00:33:57–00:33:58] 不不不不很漂亮
[00:33:59–00:34:01] 好所以生土的地方我講了一下
[00:34:01–00:34:03] 就是你有很多的選擇哦
[00:34:03–00:34:04] 不用受限於說啊
[00:34:04–00:34:05] 我今天扣達沒了啦
[00:34:05–00:34:06] 或者是啊
[00:34:06–00:34:08] 怎麼樣至少你現在有兩套
[00:34:08–00:34:09] 非常好用的工具
[00:34:09–00:34:11] 可以互相的去做
[00:34:11–00:34:13] 呃使用跟切換
[00:34:13–00:34:14] 那當然你有購課啦
[00:34:14–00:34:16] 或者是有其他的這個工具都可以
[00:34:17–00:34:18] 好好的去善用他哦
[00:34:18–00:34:20] 好好的去善用他
[00:34:20–00:34:21] 嘿
[00:34:21–00:34:23] 哎我這邊在下一次哦
[00:34:23–00:34:26] 我們順便跟大家分享這個小小功能哦
[00:34:26–00:34:29] 就是他近近一個月吧
[00:34:29–00:34:29] 新的更新哦
[00:34:29–00:34:31] 在俘羅裡面他有一個
[00:34:31–00:34:33] 小小小小的更新啊哦
[00:34:33–00:34:34] 好
[00:34:35–00:34:36] 哦繼續嘍
[00:34:37–00:34:37] 所以
[00:34:37–00:34:39] 生土大家不要覺得太陌生
[00:34:39–00:34:41] 這個應該是在你的日常生活中
[00:34:41–00:34:43] 非常非常常見的哦
[00:34:43–00:34:45] 那是記得你有兩個很好用的功能
[00:34:45–00:34:46] 可以用好
[00:34:46–00:34:47] 那我要繼續往下講
[00:34:48–00:34:49] 好接下來我要講的是
[00:34:49–00:34:51] 生土之外有兩派嘛
[00:34:51–00:34:54] 就是生完之後大家就會去想說
[00:34:54–00:34:56] 如果真的不好要怎麼修呢
[00:34:56–00:34:59] 好要啊請你來修一問一答
[00:34:59–00:35:00] 你可能修到已經這個
[00:35:01–00:35:02] 快快要中風了
[00:35:02–00:35:04] 都還沒修好啊修了這邊好了
[00:35:04–00:35:06] 這邊又又又又改掉了
[00:35:06–00:35:08] 那修的時候也有技巧
[00:35:08–00:35:10] 另外一派就是把他轉成獨成
[00:35:10–00:35:11] 屠城自己來修
[00:35:12–00:35:14] 就是把使用權回到自己
[00:35:14–00:35:15] 回歸到自己啊
[00:35:15–00:35:17] 那這種方式呢有兩派
[00:35:19–00:35:20] 哦抱歉
[00:35:21–00:35:22] 來我們先做一下哦
[00:35:22–00:35:24] 啊這這個修法應該大家也都知道哦
[00:35:24–00:35:26] 不過我還是得提醒一下哦
[00:35:26–00:35:28] 點這個圖進來之後
[00:35:28–00:35:31] 你在這邊你可以根據你想要的東西
[00:35:31–00:35:33] 把它畫起來
[00:35:35–00:35:35] 然后呢
[00:35:36–00:35:37] 加入
[00:35:40–00:35:43] 我要在這邊告訴他加入
[00:35:43–00:35:45] 沙沙沙沙
[00:35:46–00:35:48] 然后呢這邊
[00:35:48–00:35:49] 嗯
[00:35:49–00:35:54] 加入這個船
[00:35:56–00:35:59] 好這種修法他會更明確知道
[00:35:59–00:36:01] 你一定要按儲存哦
[00:36:01–00:36:03] 你一定要按儲存他才知道怎麼修啊
[00:36:03–00:36:04] 就像你哥哥說
[00:36:04–00:36:06] 請按照圖片中的指示
[00:36:06–00:36:07] 來完成我的需求
[00:36:07–00:36:10] 完成之後把紅線跟紅字拿掉
[00:36:11–00:36:13] 這個是你點完圖之後可以進去修
[00:36:13–00:36:16] 哎呀會比較清楚知道你到底要修什麼
[00:36:16–00:36:18] 因為你已經很明確的把
[00:36:18–00:36:21] 你的需求要哪邊加字
[00:36:21–00:36:23] 哪邊哪邊加這個
[00:36:23–00:36:25] 魚哪邊加船哦
[00:36:25–00:36:26] 很明確的告訴他哦
[00:36:26–00:36:28] 這是這是一種修法
[00:36:29–00:36:30] gbt有這個功能哦
[00:36:31–00:36:32] 嗯可以了哦
[00:36:32–00:36:35] 這個小船小小沙雨哦
[00:36:35–00:36:39] 好那因為他要這個玩具總會的風格哦
[00:36:39–00:36:41] 來gbt也有讓大家知道一下
[00:36:43–00:36:43] 好
[00:36:44–00:36:47] 點進來編輯有沒有一樣
[00:36:47–00:36:47] 你覺得
[00:36:48–00:36:50] 哪邊要修的地方哦
[00:36:50–00:36:51] 那目前啊gbt在
[00:36:52–00:36:54] 在修的情況下你只能在這邊哦
[00:36:54–00:36:55] 就是這邊有個註解有沒有
[00:36:55–00:36:57] 就告訴他這裡
[00:36:59–00:37:01] 這海洋顏色
[00:37:02–00:37:04] 改成黑色
[00:37:04–00:37:05] 好
[00:37:06–00:37:06] 然後呢
[00:37:08–00:37:09] 就讓他修好
[00:37:10–00:37:12] 請按照我的註解來修正
[00:37:14–00:37:16] 你就這邊有註解可以標標註在哪裡
[00:37:16–00:37:18] 我來修哦
[00:37:18–00:37:19] 好就送出去
[00:37:19–00:37:21] 好他就去修
[00:37:21–00:37:23] 因為他知道的是在這邊哦
[00:37:23–00:37:24] 好那
[00:37:24–00:37:25] gbt大概這樣啊
[00:37:25–00:37:28] 就他目前看到那個畫來畫去的功能哦
[00:37:28–00:37:30] 不過他現在已經有這樣啊
[00:37:30–00:37:31] 很多人會拿手機啊
[00:37:31–00:37:34] 反正手機截圖之後畫畫告訴他也可以哦
[00:37:34–00:37:37] 好那我要開始來講修
[00:37:37–00:37:40] 哦假設我今天這張圖我想修
[00:37:40–00:37:42] 我另外一個方式哦
[00:37:43–00:37:46] image image 2.0有一個特色是
[00:37:46–00:37:48] 他可以一口氣畫出十張圖
[00:37:48–00:37:50] 哦他可以一口氣畫出十張圖
[00:37:50–00:37:51] 什麼意思呢
[00:37:53–00:37:54] 來貼上
[00:37:56–00:37:58] 這個哦假設剛剛說
[00:37:58–00:38:01] 請給我十張
[00:38:02–00:38:04] 不同風格的圖
[00:38:04–00:38:06] 好你就開這個
[00:38:06–00:38:07] 然後開高
[00:38:08–00:38:10] 這個必須得付費版才有這個功能
[00:38:11–00:38:12] 愛說老師我沒有付費怎麼辦
[00:38:12–00:38:15] 好來換個想法
[00:38:15–00:38:15] 你叫他
[00:38:16–00:38:18] 依序給你也可以哦
[00:38:18–00:38:20] 所以那種banana的也是哦
[00:38:20–00:38:22] 比如說我現在要十張不同的
[00:38:22–00:38:24] 你可以在這邊下指令哦來
[00:38:25–00:38:27] 一口氣沒辦法給我沒關係哦
[00:38:28–00:38:30] 依序生成
[00:38:30–00:38:31] 你只要下這個指令
[00:38:31–00:38:34] 他會陸陸續續把它
[00:38:34–00:38:37] 完成出來哦雖然說他不可能
[00:38:37–00:38:39] 嗯沒辦法像gbt一樣
[00:38:39–00:38:40] 一口氣給你
[00:38:40–00:38:42] 其實他最多是十張啊
[00:38:42–00:38:43] 那他這邊會
[00:38:44–00:38:46] 第一張給你然後第二張第三張
[00:38:46–00:38:47] 他會用依序的方式哦
[00:38:47–00:38:49] 所以兩邊都是你
[00:38:49–00:38:51] 可以做到這件事
[00:38:51–00:38:52] 只是換個方向哦
[00:38:52–00:38:54] 不過不用說我現在付費或者是
[00:38:54–00:38:56] gbt有為什麼那個
[00:38:56–00:38:58] 那老闆啊沒有這換個方法都可以做哦
[00:38:58–00:38:59] 這是第一個生土的時候
[00:39:00–00:39:03] 好那他可以做十張的時候就非常有趣哦
[00:39:03–00:39:04] 他可以做十張的時候
[00:39:04–00:39:06] 我們的idea就要就要改哦
[00:39:06–00:39:08] 說十張風格改完之後
[00:39:09–00:39:11] 我今天如果短念一想呢
[00:39:11–00:39:14] 我現在我要的十張啊
[00:39:14–00:39:16] 是這一二三四五六七
[00:39:17–00:39:19] 這七八八八台灣哦
[00:39:19–00:39:22] 每一張都是獨立的一個圖
[00:39:22–00:39:25] 那他的圖呢都是去背的可不可以
[00:39:25–00:39:26] 好來舉個例哦
[00:39:32–00:39:34] 來我就把這張圖貼上去
[00:39:36–00:39:37] 好你就下這個指令
[00:39:38–00:39:39] 現在把這張圖
[00:39:40–00:39:42] 拆解開來重新畫
[00:39:43–00:39:44] 每一個
[00:39:44–00:39:47] 颱風跟台灣區隔開來
[00:39:47–00:39:48] 總共會有八張
[00:39:49–00:39:49] 每一張
[00:39:50–00:39:52] 的大小都是16比9
[00:39:53–00:39:55] 並且幫我去背
[00:39:56–00:39:57] 就給他這樣指令
[00:39:57–00:39:59] 然後讓他去做拆解的動作哦
[00:40:00–00:40:01] 那一定要叫他重畫哦
[00:40:01–00:40:03] 他有時候拆解開了他直接把他拆
[00:40:03–00:40:04] 就是很
[00:40:05–00:40:05] 呃很
[00:40:06–00:40:08] 很直觀的拆你要叫他重新畫
[00:40:08–00:40:09] 但是要跟他一模一樣哦
[00:40:09–00:40:11] 要跟圓圖一樣哦
[00:40:12–00:40:13] 要跟
[00:40:15–00:40:16] 圓圖
[00:40:18–00:40:18] 一樣
[00:40:19–00:40:22] 網路上有很多這種人家寫好的哦
[00:40:22–00:40:24] 但是我我都習習慣空心寫了哦
[00:40:25–00:40:27] 圓圖一樣哦啊
[00:40:27–00:40:29] 其實這個概念都有一樣哦來
[00:40:30–00:40:31] 圓圖一樣好
[00:40:32–00:40:33] 那一樣開高
[00:40:33–00:40:35] 然後讓他去去做
[00:40:35–00:40:36] 他就會幫你拆解開好
[00:40:36–00:40:38] 所以拆解派
[00:40:38–00:40:40] 有一派的人是走這個風格的
